there are total 216 partitions   total nodes: 47773 
they are:
partition 0   2:
177 41.739229, 123.412109
221 41.739113, 12.341201
partition 1   7:
185 4.193191, 123.417422
3364 41.932031, 123.416865
13146 41.932092, 123.416791
13142 41.931981, 123.416953
29275 41.931933, 123.417066
29273 41.931915, 123.417188
3367 41.932211, 123.416655
partition 2   2:
212 41.740533, 123.409818
219 41.740626, 123.409963
partition 3   2:
216 41.742795, 123.408148
222 41.742731, 123.407996
partition 4   2:
178 41.738396, 123.414258
192 41.738511, 123.414334
partition 5   9:
318 41.808981, 123.402637
22263 4.180895, 123.402971
22262 41.808832, 123.404001
22261 41.808786, 123.404253
22260 41.808666, 123.404819
321 41.808987, 123.402512
319 41.808985, 123.402417
35277 41.808944, 123.402266
22259 41.808535, 123.405193
partition 6   7:
898 41.837339, 123.505721
26596 41.837132, 1.235055
26763 41.836788, 123.505271
26764 41.836615, 123.505095
26765 4.183633, 123.504684
26766 41.836179, 123.504293
26767 41.833888, 123.498167
partition 7   5:
1175 41.814818, 123.445226
1176 4.181478, 123.445395
1177 41.814748, 123.445478
1178 41.814698, 123.445542
1179 41.814591, 123.445623
partition 8   61:
2212 41.917112, 123.413753
3172 4.191723, 12.341365
2226 41.917275, 123.413361
3177 41.917052, 123.413321
39037 41.917056, 123.413304
41242 41.917078, 123.413222
39038 4.191709, 123.413179
41241 41.917198, 123.413019
39039 41.917241, 123.412955
39040 41.917394, 123.412794
41239 41.917402, 12.341279
3171 41.917592, 123.412691
41238 41.917616, 123.412691
39041 41.917656, 123.412691
2225 41.917999, 123.412703
41237 41.918048, 123.412736
39042 41.918089, 123.412763
39079 41.917993, 123.412923
39043 41.917923, 123.413009
39044 41.917918, 123.413095
39045 4.191797, 123.413138
41248 41.918014, 123.413206
39055 41.918025, 123.413221
3165 41.918085, 123.413324
41247 41.918101, 123.413379
39056 41.918118, 123.413441
39057 41.918146, 123.413548
39059 41.918153, 123.413656
39060 41.918148, 123.413771
39061 41.918123, 123.413871
3167 41.918089, 123.413973
39062 41.918042, 123.414064
39063 41.918191, 123.414217
39064 41.918247, 12.341416
39065 41.918652, 123.414568
41243 4.191864, 123.414712
39066 41.918614, 123.415042
39067 41.918593, 12.341511
39069 41.918535, 123.415117
41244 41.918317, 123.415084
39070 41.918157, 123.415059
39071 41.917981, 12.341441
39072 41.918038, 123.414373
2223 41.918022, 123.414333
39073 41.917942, 123.414188
39074 41.917799, 123.414244
39075 41.917316, 123.414202
39076 41.917305, 123.414228
39077 41.917298, 123.414249
39036 41.917062, 123.414227
39078 41.917036, 123.414218
2219 41.917026, 123.414173
41245 41.917014, 123.414165
3175 41.916963, 123.414129
2215 41.916922, 123.414047
3174 4.191691, 123.414009
41246 41.916915, 123.413949
2229 41.916918, 123.413912
2213 41.916924, 123.413837
3173 41.916956, 123.413781
2227 41.917022, 123.413748
partition 9   152:
2217 4.191696, 123.414902
38015 41.916663, 123.414854
2228 41.915372, 123.414643
37464 4.191472, 123.414535
38014 41.917016, 123.414912
3169 41.918334, 123.415127
39093 41.918652, 123.415179
39147 41.918286, 123.419144
11038 41.917822, 123.419358
3782 41.907895, 123.413575
38182 41.907942, 123.413547
3789 41.907999, 123.413542
38185 41.908798, 123.413858
35702 41.912819, 123.415428
16932 41.912886, 123.415454
35703 41.914904, 123.416255
38178 41.915363, 123.416473
35704 0.419156, 123.416617
11042 41.916715, 123.417465
3783 41.916908, 123.417623
11041 41.917158, 123.417875
41379 4.191735, 123.418134
11040 41.917513, 123.418439
11039 4.191767, 12.341881
38181 41.907856, 123.413624
3787 41.907836, 12.341369
38179 41.907203, 123.420476
3779 41.907083, 123.421634
11037 41.918436, 123.421737
3785 4.191838, 123.421945
3786 41.918315, 123.422075
3788 41.918152, 123.422302
3778 41.918691, 123.421926
3780 41.918554, 123.421872
41378 41.918883, 123.421984
2220 4.191869, 123.414766
37455 41.918744, 123.414189
37476 41.918818, 123.414192
39108 41.918888, 123.414152
